Notes :,
,
,
2023-10-21 ¿ÀÀü 12:26:54,
Volts,
Ch : LED 2,Ch : LED 3
1.03E-01,8.06E-02
1.03E-01,8.05E-02
1.03E-01,8.06E-02
1.03E-01,8.05E-02
1.03E-01,8.07E-02
1.03E-01,8.05E-02
1.03E-01,8.07E-02
1.03E-01,8.10E-02
1.03E-01,8.06E-02
1.03E-01,8.09E-02
1.03E-01,8.09E-02
1.03E-01,8.08E-02
1.03E-01,8.09E-02
1.03E-01,8.09E-02
1.03E-01,8.09E-02
1.03E-01,8.09E-02
1.03E-01,8.07E-02
1.03E-01,8.09E-02
1.03E-01,8.06E-02
1.03E-01,8.09E-02
1.03E-01,8.08E-02
1.03E-01,8.09E-02
1.03E-01,8.13E-02
1.03E-01,8.08E-02
1.03E-01,8.10E-02
