Notes :


2023-10-21 ¿ÀÈÄ 10:56:24
Volts
Ch : LED 2,
338.686752E-3
338.236427E-3
338.241577E-3
337.280846E-3
337.253952E-3
336.910629E-3
336.114120E-3
336.017418E-3
335.104179E-3
335.300446E-3
335.224342E-3
334.715080E-3
335.028648E-3
334.466171E-3
334.748840E-3
334.622955E-3
334.111404E-3
334.313965E-3
333.646774E-3
334.035301E-3
334.080505E-3
333.859062E-3
334.336853E-3
333.910561E-3
334.564590E-3
334.795189E-3
334.700203E-3
335.254097E-3
334.685326E-3
335.065842E-3
335.131645E-3
334.770012E-3
334.931946E-3
334.309959E-3
334.545708E-3
334.545708E-3
333.978081E-3
334.284210E-3
333.624458E-3
333.837318E-3
333.681107E-3
333.293724E-3
333.722305E-3
333.063698E-3
333.343506E-3
333.396149E-3
333.009911E-3
333.627892E-3
333.001900E-3
333.035660E-3
333.175850E-3
333.108330E-3
333.575821E-3
332.955551E-3
333.183289E-3
333.191299E-3
332.936668E-3
333.622742E-3
332.841110E-3
332.922363E-3
332.998466E-3
332.531548E-3
333.340645E-3
332.591629E-3
332.752991E-3
332.766724E-3
332.576752E-3
333.358955E-3
332.755852E-3
333.186150E-3
333.997536E-3
334.616661E-3
336.273193E-3
336.580467E-3
337.509155E-3
338.360023E-3
338.550568E-3
339.684105E-3
338.865852E-3
338.545990E-3
338.344574E-3
337.548065E-3
338.010979E-3
336.660576E-3
336.320114E-3
336.191940E-3
335.500717E-3
336.273766E-3
335.170555E-3
335.254097E-3
335.426903E-3
335.157967E-3
335.905838E-3
334.966850E-3
334.618378E-3
334.646416E-3
334.142303E-3
334.883881E-3
333.982086E-3
334.111404E-3
334.485054E-3
334.293938E-3
335.321045E-3
334.600639E-3
334.705925E-3
335.121346E-3
334.891319E-3
335.802269E-3
334.935379E-3
334.805489E-3
334.933662E-3
334.499359E-3
335.161972E-3
334.174919E-3
334.029579E-3
334.042740E-3
333.697701E-3
334.421539E-3
333.602142E-3
333.369255E-3
333.614159E-3
333.236504E-3
333.839607E-3
333.037376E-3
333.268547E-3
333.395576E-3
333.031082E-3
333.539200E-3
332.966995E-3
332.887459E-3
333.204460E-3
332.885742E-3
333.671379E-3
333.080292E-3
333.079720E-3
333.255959E-3
332.897186E-3
333.493996E-3
333.014488E-3
332.950401E-3
333.185005E-3
332.897758E-3
333.464241E-3
332.877731E-3
332.859421E-3
333.125496E-3
332.795334E-3
333.478546E-3
333.210182E-3
333.633041E-3
334.604073E-3
335.157967E-3
336.932373E-3
337.399864E-3
338.101387E-3
338.980293E-3
338.868141E-3
339.927864E-3
339.356804E-3
339.022064E-3
338.768578E-3
337.687111E-3
337.948608E-3
337.105179E-3
336.697197E-3
336.548996E-3
335.949898E-3
336.480331E-3
335.951614E-3
335.880661E-3
336.031151E-3
335.618019E-3
336.183357E-3
335.511589E-3
335.099602E-3
335.183144E-3
334.665298E-3
335.214615E-3
334.650421E-3
334.481621E-3
334.779739E-3
334.248161E-3
335.347366E-3
335.349655E-3
335.273552E-3
335.521317E-3
335.198593E-3
335.811996E-3
335.295296E-3
335.106468E-3
335.014343E-3
334.595490E-3
335.124207E-3
334.612656E-3
334.390640E-3
