Notes :


2023-11-26 ¿ÀÀü 12:12:06
Volts
Ch : LED 2,Ch : LED 3,
211.569786E-3,353.752327E-3
211.604118E-3,353.728867E-3
211.887360E-3,354.330826E-3
212.168312E-3,355.013466E-3
212.962532E-3,356.242561E-3
213.538170E-3,357.311440E-3
214.340401E-3,358.594894E-3
214.948654E-3,359.680367E-3
215.424156E-3,360.471153E-3
216.098213E-3,361.403275E-3
216.213226E-3,361.455345E-3
216.406059E-3,361.576080E-3
216.396904E-3,361.653328E-3
216.228104E-3,361.354637E-3
216.359711E-3,361.316299E-3
216.208649E-3,361.116600E-3
216.477585E-3,361.259651E-3
216.722488E-3,361.588097E-3
216.953087E-3,362.036705E-3
217.536163E-3,362.975121E-3
217.678070E-3,363.315582E-3
218.138123E-3,363.727570E-3
218.091202E-3,363.919830E-3
217.901802E-3,363.696098E-3
217.868042E-3,363.695526E-3
217.470360E-3,363.106155E-3
217.243767E-3,362.789154E-3
216.958809E-3,362.460136E-3
216.732216E-3,362.227249E-3
216.955376E-3,362.242699E-3
216.774559E-3,362.196350E-3
216.993713E-3,362.443542E-3
217.234612E-3,362.785721E-3
217.465210E-3,363.034630E-3
217.858315E-3,363.688087E-3
218.092918E-3,364.125824E-3
218.514061E-3,364.744949E-3
218.827629E-3,365.594673E-3
219.097137E-3,365.840149E-3
219.693375E-3,366.455269E-3
219.942856E-3,366.717339E-3
220.232391E-3,367.246628E-3
220.397758E-3,367.646599E-3
220.537949E-3,367.611694E-3
220.853806E-3,368.031120E-3
220.816612E-3,368.019104E-3
220.874405E-3,368.038559E-3
220.945358E-3,368.270874E-3
220.737076E-3,368.274307E-3
220.940208E-3,368.543243E-3
220.788574E-3,368.310928E-3
220.812035E-3,368.392754E-3
220.818329E-3,368.420792E-3
220.564842E-3,368.308067E-3
220.785713E-3,368.520927E-3
220.614624E-3,368.391037E-3
220.654678E-3,368.471146E-3
220.767403E-3,368.587303E-3
220.645523E-3,368.574715E-3
220.846367E-3,368.889999E-3
220.893288E-3,368.802452E-3
221.052361E-3,369.034767E-3
221.197701E-3,369.392967E-3
221.205711E-3,369.466782E-3
